PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
Shoulder,Senior,Low,Intermediate,Shoulder Rolls,Bi-Weekly
Shoulder,Adult,Medium,Advanced,Wall Push-ups,Bi-Weekly
Shoulder,Teen,Low,Beginner,Arm Circles,Bi-Weekly
Knee,Senior,Low,Intermediate,Leg Raises,Bi-Weekly
Ankle,Child,Low,Advanced,Ankle Circles,Bi-Weekly
Back,Child,High,Advanced,Superman Exercise,Bi-Weekly
Back,Teen,High,Advanced,Cat-Cow Stretch,Bi-Weekly
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Weekly
Shoulder,Senior,Medium,Intermediate,Shoulder Rolls,Daily
Elbow,Teen,Low,Advanced,Tricep Dips,Bi-Weekly
Back,Senior,Low,Intermediate,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Senior,Low,Beginner,Weight Training,Daily
PCOS,Adult,High,Advanced,Strength Training,Daily
Neck,Senior,High,Intermediate,Shoulder Shrugs,Daily
Neck,Teen,High,Intermediate,Shoulder Shrugs,Weekly
PCOS,Adult,Low,Intermediate,Cardio Exercises,Daily
Ankle,Teen,Medium,Beginner,Calf Raises,Daily
Neck,Teen,High,Intermediate,Neck Tilts,Bi-Weekly
Knee,Adult,Medium,Beginner,Lunges,Bi-Weekly
Shoulder,Teen,Medium,Intermediate,Wall Push-ups,Weekly
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Ankle,Child,Medium,Intermediate,Toe Walks,Weekly
Elbow,Child,High,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Knee,Senior,High,Beginner,Squats,Weekly
Ankle,Senior,High,Beginner,Ankle Circles,Daily
Neck,Child,High,Beginner,Shoulder Shrugs,Bi-Weekly
Neck,Senior,Medium,Intermediate,Neck Rotations,Bi-Weekly
Neck,Teen,Low,Intermediate,Shoulder Shrugs,Weekly
PCOS,Senior,Medium,Beginner,Yoga,Bi-Weekly
PCOS,Senior,Low,Beginner,Strength Training,Weekly
Ankle,Adult,Low,Advanced,Calf Raises,Daily
Neck,Teen,Medium,Intermediate,Neck Rotations,Bi-Weekly
Ankle,Teen,High,Beginner,Toe Walks,Bi-Weekly
Back,Child,Medium,Beginner,Superman Exercise,Daily
Knee,Teen,Low,Intermediate,Squats,Bi-Weekly
Shoulder,Adult,Low,Beginner,Arm Circles,Bi-Weekly
PCOS,Senior,Medium,Beginner,Strength Training,Weekly
Back,Child,Low,Intermediate,Superman Exercise,Weekly
Back,Senior,Low,Intermediate,Deadlifts,Daily
Back,Child,High,Intermediate,Cat-Cow Stretch,Bi-Weekly
PCOS,Adult,High,Intermediate,Yoga,Weekly
Shoulder,Adult,Low,Intermediate,Shoulder Rolls,Weekly
Neck,Teen,Medium,Intermediate,Neck Tilts,Daily
Neck,Teen,High,Intermediate,Neck Tilts,Daily
Ankle,Child,High,Advanced,Calf Raises,Daily
Back,Senior,High,Beginner,Deadlifts,Bi-Weekly
PCOS,Adult,Low,Intermediate,Strength Training,Weekly
Knee,Adult,Medium,Advanced,Squats,Bi-Weekly
Shoulder,Child,Low,Advanced,Wall Push-ups,Weekly
PCOS,Child,Low,Intermediate,Yoga,Bi-Weekly
PCOS,Senior,High,Advanced,Strength Training,Daily
Knee,Teen,Medium,Intermediate,Squats,Bi-Weekly
Ankle,Adult,Medium,Intermediate,Ankle Circles,Weekly
Knee,Senior,Low,Advanced,Lunges,Weekly
Neck,Senior,High,Advanced,Shoulder Shrugs,Daily
Shoulder,Teen,High,Intermediate,Shoulder Rolls,Daily
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Weekly
Back,Child,High,Advanced,Deadlifts,Weekly
Elbow,Child,Low,Beginner,Resistance Band Curls,Bi-Weekly
Neck,Teen,Medium,Beginner,Neck Tilts,Weekly
Ankle,Adult,Low,Intermediate,Toe Walks,Weekly
Back,Teen,Medium,Beginner,Superman Exercise,Weekly
Osteoporotic,Senior,Medium,Beginner,Tai Chi,Daily
Ankle,Senior,High,Beginner,Ankle Circles,Daily
PCOS,Senior,Low,Advanced,Yoga,Weekly
Neck,Child,Low,Advanced,Neck Rotations,Weekly
Knee,Teen,High,Intermediate,Squats,Weekly
Knee,Child,Medium,Advanced,Squats,Bi-Weekly
Elbow,Child,Medium,Advanced,Wrist Flexor Stretch,Daily
Osteoporotic,Adult,Low,Intermediate,Tai Chi,Bi-Weekly
PCOS,Senior,Medium,Advanced,Yoga,Bi-Weekly
Neck,Senior,Low,Intermediate,Neck Rotations,Daily
Knee,Senior,Low,Intermediate,Squats,Weekly
Knee,Child,High,Beginner,Squats,Weekly
PCOS,Adult,Medium,Intermediate,Cardio Exercises,Weekly
PCOS,Adult,Medium,Advanced,Strength Training,Weekly
Neck,Teen,Medium,Advanced,Neck Rotations,Weekly
PCOS,Adult,Low,Beginner,Strength Training,Bi-Weekly
Osteoporotic,Adult,Low,Beginner,Tai Chi,Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Bi-Weekly
Ankle,Child,High,Advanced,Toe Walks,Weekly
Shoulder,Teen,Medium,Beginner,Arm Circles,Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Bi-Weekly
Ankle,Child,Low,Intermediate,Toe Walks,Bi-Weekly
Elbow,Adult,Low,Beginner,Resistance Band Curls,Bi-Weekly
PCOS,Senior,Low,Beginner,Yoga,Weekly
Back,Child,High,Intermediate,Cat-Cow Stretch,Weekly
Knee,Senior,High,Intermediate,Leg Raises,Weekly
Neck,Child,Low,Intermediate,Neck Rotations,Weekly
Shoulder,Child,Medium,Intermediate,Arm Circles,Daily
Shoulder,Adult,Low,Beginner,Shoulder Rolls,Bi-Weekly
Neck,Child,Medium,Advanced,Neck Rotations,Weekly
Elbow,Child,Medium,Advanced,Tricep Dips,Bi-Weekly
Neck,Adult,High,Intermediate,Shoulder Shrugs,Bi-Weekly
Shoulder,Teen,Medium,Intermediate,Wall Push-ups,Daily
PCOS,Adult,Medium,Beginner,Yoga,Bi-Weekly
Elbow,Teen,High,Beginner,Tricep Dips,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Daily
Neck,Adult,Low,Advanced,Neck Rotations,Daily
PCOS,Adult,High,Advanced,Yoga,Daily
PCOS,Teen,Medium,Intermediate,Strength Training,Bi-Weekly
Ankle,Adult,High,Beginner,Toe Walks,Daily
PCOS,Teen,Medium,Advanced,Cardio Exercises,Weekly
Shoulder,Teen,High,Beginner,Wall Push-ups,Weekly
Back,Senior,High,Advanced,Cat-Cow Stretch,Bi-Weekly
Back,Child,Medium,Intermediate,Superman Exercise,Daily
Shoulder,Child,Low,Beginner,Wall Push-ups,Weekly
Shoulder,Senior,Medium,Beginner,Wall Push-ups,Weekly
Elbow,Adult,High,Advanced,Wrist Flexor Stretch,Daily
Neck,Senior,Medium,Advanced,Shoulder Shrugs,Daily
Elbow,Child,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Neck,Adult,Medium,Advanced,Neck Tilts,Daily
Neck,Teen,Low,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Child,Low,Intermediate,Arm Circles,Bi-Weekly
Ankle,Adult,Low,Intermediate,Ankle Circles,Weekly
Shoulder,Adult,High,Advanced,Wall Push-ups,Daily
Ankle,Teen,Low,Advanced,Ankle Circles,Weekly
Ankle,Adult,Low,Beginner,Toe Walks,Bi-Weekly
Knee,Senior,Low,Beginner,Leg Raises,Bi-Weekly
Knee,Teen,Low,Beginner,Squats,Bi-Weekly
Elbow,Senior,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Back,Adult,Medium,Advanced,Deadlifts,Weekly
Ankle,Teen,Low,Advanced,Calf Raises,Weekly
Elbow,Child,High,Advanced,Tricep Dips,Daily
PCOS,Teen,Low,Beginner,Cardio Exercises,Bi-Weekly
Knee,Child,High,Beginner,Lunges,Daily
Ankle,Adult,Low,Beginner,Toe Walks,Weekly
Osteoporotic,Adult,Low,Intermediate,Balance Exercises,Daily
Ankle,Child,Medium,Intermediate,Calf Raises,Daily
PCOS,Child,High,Advanced,Yoga,Daily
Shoulder,Teen,Medium,Beginner,Arm Circles,Bi-Weekly
Osteoporotic,Child,Medium,Beginner,Weight Training,Bi-Weekly
PCOS,Child,Low,Advanced,Yoga,Bi-Weekly
PCOS,Teen,Low,Intermediate,Strength Training,Weekly
Ankle,Adult,High,Beginner,Calf Raises,Weekly
Shoulder,Adult,Medium,Beginner,Wall Push-ups,Weekly
Elbow,Child,High,Advanced,Resistance Band Curls,Bi-Weekly
Knee,Adult,High,Beginner,Lunges,Bi-Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Bi-Weekly
Neck,Senior,Low,Advanced,Shoulder Shrugs,Weekly
Knee,Teen,Medium,Intermediate,Leg Raises,Weekly
Shoulder,Senior,High,Intermediate,Shoulder Rolls,Daily
Knee,Teen,Low,Advanced,Squats,Weekly
Shoulder,Child,Medium,Beginner,Arm Circles,Bi-Weekly
Osteoporotic,Teen,High,Advanced,Weight Training,Daily
Elbow,Child,Low,Advanced,Tricep Dips,Bi-Weekly
Knee,Child,Medium,Beginner,Squats,Bi-Weekly
PCOS,Adult,Medium,Beginner,Cardio Exercises,Weekly
PCOS,Adult,High,Advanced,Cardio Exercises,Weekly
PCOS,Adult,Medium,Beginner,Yoga,Bi-Weekly
Osteoporotic,Child,Low,Advanced,Balance Exercises,Weekly
Back,Teen,High,Advanced,Superman Exercise,Weekly
Osteoporotic,Senior,Low,Advanced,Balance Exercises,Bi-Weekly
Shoulder,Senior,Low,Beginner,Wall Push-ups,Weekly
Osteoporotic,Adult,Low,Intermediate,Tai Chi,Daily
Shoulder,Child,Low,Intermediate,Shoulder Rolls,Weekly
Neck,Child,High,Beginner,Neck Tilts,Weekly
Ankle,Teen,Medium,Beginner,Calf Raises,Bi-Weekly
Shoulder,Adult,Medium,Intermediate,Arm Circles,Weekly
Ankle,Adult,Medium,Intermediate,Toe Walks,Daily
Knee,Senior,High,Advanced,Lunges,Bi-Weekly
PCOS,Child,High,Beginner,Yoga,Daily
Elbow,Adult,Medium,Intermediate,Tricep Dips,Bi-Weekly
Knee,Adult,Low,Intermediate,Leg Raises,Daily
Elbow,Adult,High,Advanced,Tricep Dips,Bi-Weekly
Knee,Senior,Medium,Advanced,Leg Raises,Weekly
Elbow,Child,High,Beginner,Tricep Dips,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Weight Training,Daily
Ankle,Child,High,Intermediate,Calf Raises,Weekly
PCOS,Senior,Medium,Advanced,Yoga,Weekly
Back,Child,High,Beginner,Superman Exercise,Bi-Weekly
Ankle,Teen,Low,Beginner,Ankle Circles,Daily
Ankle,Senior,Medium,Beginner,Toe Walks,Weekly
Neck,Adult,Medium,Advanced,Neck Tilts,Weekly
Knee,Adult,High,Advanced,Squats,Bi-Weekly
Back,Senior,Low,Advanced,Deadlifts,Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Daily
Knee,Adult,High,Intermediate,Lunges,Bi-Weekly
Back,Child,High,Advanced,Cat-Cow Stretch,Bi-Weekly
Ankle,Senior,Low,Advanced,Ankle Circles,Bi-Weekly
Back,Senior,Low,Advanced,Cat-Cow Stretch,Bi-Weekly
Back,Child,Medium,Advanced,Deadlifts,Weekly
Shoulder,Child,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Senior,Medium,Intermediate,Toe Walks,Bi-Weekly
PCOS,Child,High,Beginner,Cardio Exercises,Bi-Weekly
Ankle,Senior,High,Beginner,Toe Walks,Weekly
Shoulder,Senior,Medium,Beginner,Shoulder Rolls,Bi-Weekly
Elbow,Senior,Low,Advanced,Wrist Flexor Stretch,Daily
Ankle,Senior,High,Intermediate,Calf Raises,Daily
Ankle,Teen,Low,Beginner,Toe Walks,Daily
Knee,Child,High,Intermediate,Lunges,Weekly
Elbow,Teen,Medium,Beginner,Resistance Band Curls,Bi-Weekly
Neck,Teen,Low,Beginner,Neck Tilts,Bi-Weekly
Back,Teen,Low,Beginner,Deadlifts,Bi-Weekly
Osteoporotic,Senior,High,Advanced,Tai Chi,Bi-Weekly
Shoulder,Teen,Low,Intermediate,Arm Circles,Bi-Weekly
Knee,Adult,Medium,Advanced,Lunges,Daily
Shoulder,Senior,Medium,Intermediate,Wall Push-ups,Weekly
Osteoporotic,Senior,Medium,Beginner,Weight Training,Daily
Knee,Senior,Low,Beginner,Lunges,Daily
Knee,Senior,Medium,Beginner,Lunges,Daily
Ankle,Teen,Low,Beginner,Calf Raises,Daily
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Daily
Neck,Child,Medium,Beginner,Neck Tilts,Weekly
Ankle,Child,Low,Advanced,Ankle Circles,Daily
Knee,Adult,High,Advanced,Leg Raises,Daily
Back,Teen,High,Intermediate,Superman Exercise,Daily
Knee,Senior,High,Intermediate,Squats,Daily
Back,Adult,High,Advanced,Superman Exercise,Weekly
Ankle,Adult,Low,Beginner,Ankle Circles,Daily
Ankle,Teen,Low,Intermediate,Calf Raises,Bi-Weekly
Back,Teen,Medium,Intermediate,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Child,High,Beginner,Balance Exercises,Daily
Neck,Adult,Low,Advanced,Shoulder Shrugs,Daily
Elbow,Child,High,Intermediate,Wrist Flexor Stretch,Weekly
Back,Senior,High,Advanced,Cat-Cow Stretch,Weekly
PCOS,Senior,Low,Advanced,Cardio Exercises,Weekly
Elbow,Senior,Medium,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Balance Exercises,Bi-Weekly
Ankle,Teen,Low,Intermediate,Toe Walks,Daily
Neck,Teen,High,Intermediate,Shoulder Shrugs,Bi-Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Weekly
Neck,Teen,Medium,Advanced,Neck Rotations,Weekly
Knee,Child,High,Beginner,Leg Raises,Daily
Osteoporotic,Senior,High,Advanced,Balance Exercises,Weekly
Back,Teen,Low,Beginner,Cat-Cow Stretch,Bi-Weekly
PCOS,Adult,High,Intermediate,Cardio Exercises,Bi-Weekly
Ankle,Senior,Medium,Advanced,Calf Raises,Weekly
Knee,Adult,High,Beginner,Squats,Bi-Weekly
Osteoporotic,Adult,Low,Advanced,Tai Chi,Daily
Knee,Senior,Medium,Advanced,Lunges,Weekly
PCOS,Child,High,Intermediate,Strength Training,Daily
Knee,Adult,Low,Advanced,Leg Raises,Daily
PCOS,Child,High,Intermediate,Strength Training,Bi-Weekly
Shoulder,Senior,Low,Advanced,Shoulder Rolls,Weekly
Knee,Senior,High,Advanced,Lunges,Weekly
Elbow,Child,Medium,Advanced,Resistance Band Curls,Bi-Weekly
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Bi-Weekly
Neck,Teen,Medium,Beginner,Neck Tilts,Weekly
Osteoporotic,Senior,Low,Intermediate,Tai Chi,Bi-Weekly
Neck,Child,High,Beginner,Neck Tilts,Bi-Weekly
Osteoporotic,Teen,Medium,Beginner,Balance Exercises,Weekly
Ankle,Child,High,Intermediate,Toe Walks,Bi-Weekly
Knee,Child,High,Intermediate,Leg Raises,Weekly
Neck,Teen,Low,Beginner,Neck Tilts,Daily
Knee,Child,Low,Advanced,Lunges,Daily
Neck,Teen,Medium,Beginner,Shoulder Shrugs,Weekly
Shoulder,Teen,High,Advanced,Arm Circles,Weekly
Neck,Adult,Medium,Advanced,Shoulder Shrugs,Weekly
Back,Adult,Medium,Advanced,Deadlifts,Daily
Elbow,Teen,High,Advanced,Resistance Band Curls,Weekly
PCOS,Senior,High,Advanced,Strength Training,Daily
Knee,Child,Medium,Beginner,Leg Raises,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Weekly
Shoulder,Senior,Medium,Beginner,Shoulder Rolls,Weekly
Osteoporotic,Teen,Medium,Beginner,Tai Chi,Daily
PCOS,Adult,High,Intermediate,Strength Training,Daily
Elbow,Child,Medium,Intermediate,Resistance Band Curls,Weekly
PCOS,Adult,Low,Intermediate,Yoga,Weekly
Neck,Teen,High,Intermediate,Neck Rotations,Daily
Shoulder,Adult,Medium,Intermediate,Arm Circles,Bi-Weekly
PCOS,Senior,High,Advanced,Yoga,Weekly
Ankle,Teen,Medium,Intermediate,Ankle Circles,Weekly
Ankle,Senior,Medium,Beginner,Toe Walks,Daily
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Knee,Senior,High,Intermediate,Leg Raises,Weekly
Shoulder,Adult,Low,Advanced,Shoulder Rolls,Bi-Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Weekly
Neck,Adult,Low,Advanced,Neck Rotations,Weekly
Knee,Child,Medium,Intermediate,Lunges,Bi-Weekly
Ankle,Senior,Low,Advanced,Calf Raises,Daily
Osteoporotic,Teen,Medium,Beginner,Weight Training,Daily
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Weekly
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Bi-Weekly
PCOS,Child,Medium,Advanced,Cardio Exercises,Weekly
Back,Adult,High,Intermediate,Cat-Cow Stretch,Daily
Osteoporotic,Senior,Low,Intermediate,Weight Training,Daily
Knee,Teen,Medium,Advanced,Lunges,Bi-Weekly
Ankle,Adult,Low,Advanced,Ankle Circles,Weekly
Shoulder,Senior,High,Advanced,Arm Circles,Daily
Elbow,Child,Low,Beginner,Wrist Flexor Stretch,Daily
Back,Teen,Medium,Beginner,Deadlifts,Daily
Elbow,Child,Low,Beginner,Resistance Band Curls,Bi-Weekly
Knee,Teen,High,Advanced,Squats,Bi-Weekly
Ankle,Adult,Medium,Intermediate,Ankle Circles,Daily
Neck,Child,Medium,Advanced,Shoulder Shrugs,Daily
Ankle,Adult,Low,Intermediate,Ankle Circles,Weekly
Knee,Adult,Low,Advanced,Lunges,Daily
Knee,Teen,High,Beginner,Squats,Bi-Weekly
Elbow,Teen,High,Advanced,Wrist Flexor Stretch,Daily
PCOS,Adult,Low,Intermediate,Cardio Exercises,Bi-Weekly
Shoulder,Senior,Low,Beginner,Arm Circles,Bi-Weekly
Elbow,Child,Low,Advanced,Wrist Flexor Stretch,Weekly
Osteoporotic,Adult,Medium,Advanced,Balance Exercises,Bi-Weekly
Osteoporotic,Adult,Low,Advanced,Balance Exercises,Weekly
Ankle,Child,High,Advanced,Toe Walks,Weekly
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Neck,Adult,High,Intermediate,Neck Rotations,Daily
Shoulder,Teen,Medium,Intermediate,Wall Push-ups,Bi-Weekly
Neck,Teen,Medium,Intermediate,Neck Rotations,Bi-Weekly
Ankle,Adult,High,Beginner,Ankle Circles,Weekly
Shoulder,Adult,High,Intermediate,Wall Push-ups,Daily
Elbow,Senior,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Knee,Adult,High,Beginner,Leg Raises,Bi-Weekly
Elbow,Teen,High,Advanced,Resistance Band Curls,Bi-Weekly
PCOS,Teen,High,Intermediate,Cardio Exercises,Weekly
Knee,Child,Low,Intermediate,Leg Raises,Daily
Ankle,Adult,High,Advanced,Calf Raises,Bi-Weekly
Ankle,Adult,High,Beginner,Ankle Circles,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Weight Training,Weekly
Neck,Child,High,Advanced,Neck Rotations,Daily
Osteoporotic,Child,Low,Intermediate,Balance Exercises,Weekly
PCOS,Teen,High,Beginner,Yoga,Daily
Ankle,Child,Low,Advanced,Calf Raises,Weekly
PCOS,Teen,Medium,Beginner,Cardio Exercises,Daily
Shoulder,Adult,Low,Beginner,Arm Circles,Daily
Shoulder,Child,High,Intermediate,Wall Push-ups,Daily
Osteoporotic,Adult,High,Intermediate,Weight Training,Weekly
Shoulder,Child,High,Beginner,Wall Push-ups,Bi-Weekly
Shoulder,Adult,High,Intermediate,Arm Circles,Daily
Osteoporotic,Adult,High,Advanced,Tai Chi,Bi-Weekly
Back,Senior,High,Beginner,Cat-Cow Stretch,Bi-Weekly
Shoulder,Teen,Medium,Advanced,Shoulder Rolls,Daily
Osteoporotic,Teen,Medium,Beginner,Tai Chi,Weekly
Osteoporotic,Child,Low,Advanced,Weight Training,Daily
Osteoporotic,Senior,High,Beginner,Balance Exercises,Bi-Weekly
PCOS,Senior,High,Advanced,Strength Training,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Weekly
Knee,Teen,Low,Beginner,Leg Raises,Weekly
Shoulder,Senior,Low,Advanced,Wall Push-ups,Daily
PCOS,Senior,Low,Beginner,Yoga,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Tai Chi,Bi-Weekly
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Bi-Weekly
Shoulder,Child,High,Beginner,Wall Push-ups,Bi-Weekly
Shoulder,Adult,High,Beginner,Shoulder Rolls,Weekly
Elbow,Teen,Low,Intermediate,Wrist Flexor Stretch,Weekly
PCOS,Child,Medium,Advanced,Strength Training,Daily
Knee,Senior,High,Intermediate,Squats,Weekly
Back,Child,Low,Beginner,Superman Exercise,Weekly
Back,Adult,Low,Intermediate,Cat-Cow Stretch,Bi-Weekly
PCOS,Adult,Medium,Intermediate,Yoga,Bi-Weekly
Elbow,Adult,Low,Advanced,Tricep Dips,Daily
Back,Teen,High,Advanced,Cat-Cow Stretch,Daily
Ankle,Teen,High,Beginner,Ankle Circles,Daily
PCOS,Adult,Medium,Intermediate,Cardio Exercises,Bi-Weekly
Ankle,Child,High,Beginner,Toe Walks,Daily
PCOS,Child,High,Beginner,Strength Training,Bi-Weekly
Knee,Senior,Medium,Intermediate,Squats,Bi-Weekly
Back,Child,Medium,Advanced,Deadlifts,Bi-Weekly
PCOS,Senior,Medium,Beginner,Strength Training,Daily
Knee,Adult,High,Beginner,Squats,Bi-Weekly
Osteoporotic,Child,Medium,Beginner,Weight Training,Daily
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Weekly
PCOS,Teen,Medium,Advanced,Strength Training,Bi-Weekly
Elbow,Senior,Medium,Advanced,Tricep Dips,Bi-Weekly
Back,Teen,Medium,Beginner,Deadlifts,Bi-Weekly
PCOS,Teen,Medium,Beginner,Strength Training,Weekly
Osteoporotic,Teen,High,Beginner,Balance Exercises,Daily
Back,Child,Medium,Beginner,Superman Exercise,Daily
Elbow,Adult,Low,Advanced,Tricep Dips,Weekly
PCOS,Child,Low,Advanced,Yoga,Bi-Weekly
Ankle,Teen,High,Beginner,Toe Walks,Weekly
Neck,Child,High,Beginner,Shoulder Shrugs,Weekly
Elbow,Adult,Low,Intermediate,Tricep Dips,Weekly
Shoulder,Adult,Low,Beginner,Shoulder Rolls,Daily
Ankle,Child,High,Intermediate,Calf Raises,Daily
Back,Teen,High,Beginner,Superman Exercise,Daily
Neck,Adult,High,Advanced,Neck Tilts,Weekly
Ankle,Child,Low,Intermediate,Ankle Circles,Bi-Weekly
Neck,Child,High,Intermediate,Neck Tilts,Bi-Weekly
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Bi-Weekly
Elbow,Teen,High,Beginner,Resistance Band Curls,Bi-Weekly
PCOS,Child,Medium,Intermediate,Cardio Exercises,Daily
PCOS,Teen,Medium,Advanced,Strength Training,Daily
Knee,Teen,Low,Intermediate,Lunges,Bi-Weekly
PCOS,Adult,Medium,Beginner,Yoga,Weekly
Knee,Teen,Medium,Beginner,Lunges,Weekly
Knee,Teen,Medium,Intermediate,Leg Raises,Daily
Shoulder,Senior,High,Intermediate,Shoulder Rolls,Bi-Weekly
Shoulder,Senior,Low,Intermediate,Wall Push-ups,Bi-Weekly
Osteoporotic,Adult,Low,Beginner,Tai Chi,Bi-Weekly
Back,Senior,Low,Intermediate,Deadlifts,Bi-Weekly
Osteoporotic,Senior,Low,Intermediate,Balance Exercises,Bi-Weekly
Elbow,Teen,Medium,Advanced,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Adult,Medium,Advanced,Balance Exercises,Weekly
Knee,Senior,Medium,Advanced,Squats,Weekly
Back,Child,Medium,Advanced,Deadlifts,Bi-Weekly
Osteoporotic,Adult,Low,Intermediate,Balance Exercises,Bi-Weekly
Neck,Child,Low,Beginner,Neck Rotations,Bi-Weekly
Shoulder,Child,Medium,Advanced,Shoulder Rolls,Weekly
Shoulder,Senior,High,Intermediate,Arm Circles,Weekly
PCOS,Child,Low,Beginner,Cardio Exercises,Daily
PCOS,Senior,Medium,Beginner,Strength Training,Weekly
Ankle,Teen,Medium,Beginner,Toe Walks,Daily
Elbow,Child,Medium,Beginner,Tricep Dips,Weekly
PCOS,Child,Low,Advanced,Strength Training,Bi-Weekly
PCOS,Senior,Low,Intermediate,Cardio Exercises,Bi-Weekly
Back,Adult,Low,Advanced,Superman Exercise,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Bi-Weekly
Back,Senior,Medium,Beginner,Cat-Cow Stretch,Bi-Weekly
Back,Child,Low,Advanced,Deadlifts,Bi-Weekly
Ankle,Child,High,Beginner,Calf Raises,Weekly
Back,Adult,Low,Advanced,Superman Exercise,Weekly
Neck,Senior,Low,Intermediate,Neck Tilts,Daily
Back,Child,Low,Beginner,Superman Exercise,Bi-Weekly
Knee,Adult,High,Intermediate,Lunges,Bi-Weekly
Back,Teen,Low,Beginner,Superman Exercise,Weekly
Osteoporotic,Senior,High,Intermediate,Weight Training,Daily
Ankle,Teen,High,Beginner,Ankle Circles,Bi-Weekly
Ankle,Senior,Medium,Advanced,Calf Raises,Daily
Knee,Teen,Low,Beginner,Leg Raises,Daily
Osteoporotic,Child,High,Beginner,Balance Exercises,Weekly
Neck,Child,High,Intermediate,Neck Tilts,Bi-Weekly
Neck,Teen,High,Advanced,Shoulder Shrugs,Daily
Neck,Adult,Medium,Beginner,Neck Rotations,Weekly
PCOS,Teen,Medium,Beginner,Strength Training,Weekly
Ankle,Child,Medium,Beginner,Toe Walks,Bi-Weekly
Neck,Senior,Medium,Intermediate,Neck Tilts,Daily
Knee,Child,Low,Intermediate,Leg Raises,Bi-Weekly
Back,Teen,Low,Beginner,Deadlifts,Weekly
Elbow,Adult,Low,Intermediate,Wrist Flexor Stretch,Daily
Osteoporotic,Senior,Medium,Advanced,Tai Chi,Bi-Weekly
Back,Child,Medium,Beginner,Superman Exercise,Bi-Weekly
Elbow,Adult,High,Beginner,Resistance Band Curls,Weekly
Knee,Senior,Low,Advanced,Leg Raises,Bi-Weekly
Shoulder,Senior,Low,Beginner,Shoulder Rolls,Weekly
PCOS,Senior,High,Beginner,Yoga,Daily
Osteoporotic,Senior,Medium,Intermediate,Tai Chi,Weekly
Neck,Child,High,Intermediate,Neck Tilts,Bi-Weekly
Knee,Child,Medium,Intermediate,Leg Raises,Bi-Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Bi-Weekly
Ankle,Senior,Medium,Intermediate,Toe Walks,Weekly
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Elbow,Senior,Medium,Intermediate,Resistance Band Curls,Daily
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Knee,Teen,Low,Beginner,Lunges,Weekly
Shoulder,Child,Low,Beginner,Wall Push-ups,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Weight Training,Daily
Ankle,Adult,Medium,Beginner,Toe Walks,Weekly
Ankle,Senior,High,Advanced,Ankle Circles,Bi-Weekly
Neck,Teen,High,Advanced,Neck Tilts,Weekly
Elbow,Adult,Medium,Advanced,Wrist Flexor Stretch,Bi-Weekly
Shoulder,Senior,Low,Advanced,Shoulder Rolls,Daily
PCOS,Senior,Medium,Intermediate,Strength Training,Bi-Weekly
PCOS,Adult,Medium,Intermediate,Cardio Exercises,Daily
Knee,Child,Medium,Intermediate,Squats,Bi-Weekly
